date,asset,open,high,low,close,volume,turnover,trailing-high,trailing-ago,prct-decline,trailing-max-decline,idx,setup,signal,initial,px0,px5,px10,px20,px40
2023-11-30 00:00:00+00:00,AAAU,20.19,20.215,20.13,20.16,84667,1706886.72,20.42,145,-0.01420176297747322,-0.12095984329089138,171,true,true,true,20.51,20.1,20.165,20.44,20.16
2024-06-10 00:00:00+00:00,AAPL,197.4,197.94,192.2,192.37,4070797,7.8309921889E8,199.62,121,-0.037170624185953405,-0.17803827271816441,302,true,true,true,206.55,216.74,209.12,232.5,207.9
2024-05-02 00:00:00+00:00,AAXJ,69.28,70.33,69.0,70.19,26483,1858841.77,70.63,191,-0.023078012176129037,-0.13747699277927217,276,true,true,true,70.76,70.62,73.11,70.11,72.14
2025-02-19 00:00:00+00:00,ADI,226.7,242.46,224.3,241.47,533181,1.2874721607E8,244.115,148,-0.0811707596829363,-0.19259365462999,475,true,true,true,243.71,233.71,229.49,209.97,175.86
2024-07-29 00:00:00+00:00,ADP,253.985,256.2,252.69,255.22,71034,1.812929748E7,256.81,252,-0.016042988980179862,-0.1997585763794245,335,true,true,true,257.58,259.0,259.18,271.39,276.64
2025-09-29 00:00:00+00:00,AEE,102.135,103.69,101.73,103.55,81323,8420996.65,104.43,144,-0.025854639471416307,-0.1741111111111111,628,true,true,true,104.405,104.89,103.585,104.82,104.8
2024-02-09 00:00:00+00:00,AFG,120.66,122.89,120.34,122.82,23204,2849915.28,124.53,204,-0.033646510880912195,-0.15522364088974538,219,true,true,true,122.62,123.45,126.73,129.49,131.0
2025-11-13 00:00:00+00:00,AFL,114.785,115.44,114.27,114.97,93455,1.074452135E7,115.5,278,-0.010649350649350686,-0.1601731601731602,661,true,true,true,114.3,110.55,110.33,110.05,107.97
2024-08-01 00:00:00+00:00,AGG,99.055,99.31,99.01,99.2,568621,5.64072032E7,99.695,149,-0.006870956417071916,-0.09181953396132858,338,true,true,true,100.03,99.19,99.89,100.475,101.25
2025-02-27 00:00:00+00:00,AIG,78.305,80.5,78.305,79.7,234622,1.8699373400000002E7,80.82,199,-0.03111853501608497,-0.15614946795347673,481,true,true,true,82.96,81.27,81.545,84.44,81.225
2023-10-13 00:00:00+00:00,ALL,116.49,120.88,115.815,120.265,182909,2.1997550885E7,122.49,122,-0.05449424442811657,-0.17789207282227115,138,true,true,true,124.94,123.18,123.38,130.31,143.09
2024-11-05 00:00:00+00:00,AME,180.01,182.32,179.58,182.025,89483,1.6288143075000001E7,186.39,158,-0.03653629486560428,-0.19829389988733293,405,true,true,true,190.37,194.015,193.47,195.005,179.565
2025-07-30 00:00:00+00:00,AMED,98.13,98.765,97.685,98.71,66432,6557502.72,98.945,252,-0.012734347364697474,-0.16953863257365198,586,true,true,true,98.605,99.26,100.99,98.71,98.71
2024-08-01 00:00:00+00:00,AMH,36.285,36.92,36.255,36.84,103001,3794556.8400000003,37.97,253,-0.045167237292599305,-0.1740848037924677,338,true,true,true,37.72,38.35,38.45,39.13,38.265
